2019/10/13 14:12:37.306 [I] [SeoModel.go:104]  [2019-10-13 14:12:37]更新站点地图[start]
2019/10/13 14:12:37.311 [I] [SeoModel.go:159]  [2019-10-13 14:12:37]更新站点地图[end]
2019/10/13 14:12:38.905 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:12:43.309 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:12:44.653 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:12:45.316 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:12:45.709 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:12:46.651 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:12:47.354 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:12:48.360 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:12:49.071 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:12:49.563 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:12:50.013 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:12:50.467 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:12:50.923 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:14:10.805 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:14:13.029 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:14:14.005 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:14:14.821 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:14:16.132 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:14:17.029 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:14:18.918 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:14:20.725 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:14:25.377 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:14:29.291 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:14:36.805 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:14:37.518 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:14:38.645 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:14:39.612 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:14:40.280 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:14:40.784 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:14:41.222 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:14:41.733 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:14:42.366 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:15:13.416 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:15:18.384 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:15:18.385 [D] [Models.go:353]  统计SQL:select count(d.Id) cnt from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?    limit 100000000 offset 0
2019/10/13 14:15:23.391 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:15:23.392 [D] [Models.go:353]  统计SQL:select count(d.Id) cnt from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?    limit 100000000 offset 0
2019/10/13 14:15:24.300 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:15:24.302 [D] [Models.go:353]  统计SQL:select count(d.Id) cnt from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?  and ds.ExtNum=1   limit 100000000 offset 0
2019/10/13 14:15:25.889 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:15:27.362 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:15:28.001 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:15:28.640 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:15:29.240 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:15:30.368 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:23:10.791 [E] [BaseController.go:66]  云存储配置不正确
2019/10/13 14:23:29.184 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:23:30.829 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:24:09.351 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:24:25.162 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:24:26.392 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:24:27.031 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:24:27.454 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:24:28.073 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:24:29.062 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:24:32.139 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:24:39.702 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:26:07.821 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:26:07.903 [E] [BannerController.go:70]  云存储配置不正确
2019/10/13 14:26:18.490 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:26:19.284 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:26:19.801 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:26:20.306 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:26:20.785 [E] [BaseController.go:56]  云存储配置不正确
2019/10/13 14:26:23.150 [E] [BaseController.go:56]  云存储配置不正确
